spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,CYRIL,39,-14,4,AT,2024-09-25,88,False,213363,Stumblin' In,2023-11-10,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,40,0,-5,AT,2024-09-25,90,False,266773,Parachutes,2000-07-10,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
3qcreqi8RaGqahtJSQDxNI,Panama,GReeeN,41,1,-17,AT,2024-09-25,76,False,157135,Glückskind,2023-04-27,0.87,0.366,5,-7.503,0,0.41,0.465,1.15e-05,0.111,0.715,98.016,4
3ovTEUMYEoiT8ikEMVXBmS,Lilien,AYLIVA,42,-5,-10,AT,2024-09-25,76,False,160983,In Liebe,2024-08-16,0.862,0.549,1,-6.635,1,0.0632,0.243,0.000117,0.122,0.415,119.989,4
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,43,-2,-5,AT,2024-09-25,81,True,227032,The Death of Slim Shady (Coup De Grâce),2024-07-12,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,4
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,"David Guetta, OneRepublic",44,3,0,AT,2024-09-25,89,False,149667,I Don't Wanna Wait,2024-04-05,0.681,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.976,4
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",45,1,5,AT,2024-09-25,90,True,191700,UTOPIA,2023-07-28,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4
6leQi7NakJQS1vHRtZsroe,Mittelmeer,Pashanim,46,2,-1,AT,2024-09-25,69,False,179106,2000,2024-06-13,0.681,0.417,4,-8.172,0,0.111,0.0895,0.0115,0.146,0.158,177.965,4
5E4jBLx4P0UBji68bBThSw,Another Love,Tom Odell,47,3,3,AT,2024-09-25,65,True,244360,Long Way Down - Expanded Edition,2013-06-24,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0944,0.131,122.764,4
6qzetQfgRVyAGEg8QhqzYD,Subhanallah,Shahri,48,2,2,AT,2024-09-25,52,True,165313,Subhanallah,2024-09-20,0.685,0.651,7,-8.241,0,0.163,0.0605,0.0,0.89,0.703,81.268,4
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",49,0,1,AT,2024-09-25,92,False,143330,Guess featuring Billie Eilish,2024-08-01,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
7xLbQTeLpeqlxxTPLSiM20,aç bleiben,"Pashanim, RB030, Selim61",50,-22,0,AT,2024-09-25,67,False,123640,aç bleiben,2024-09-19,0.809,0.775,8,-8.17,1,0.0594,0.0432,0.0306,0.107,0.412,124.995,4
