spotify_id,name,artists,album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1Shm7PuL3u4Oe6eT8ZBxez,SÍRTÁNC,ekhoe,2024-11-22,0.739,0.667,-7.627,0.257,0.0319,0.0,0.226,0.442,152.978
2MAk9ErHJIxgBZRXocHhly,To Ashes and Blood - from the series Arcane League of Legends,"Arcane, League of Legends, Woodkid",2024-11-23,0.252,0.704,-7.049,0.0711,0.00787,0.0408,0.127,0.267,85.078
2aF78CWbNOyppg49sCZ4Cm,Sucker - from the series Arcane League of Legends,"Arcane, League of Legends, Marcus King",2024-11-23,0.478,0.748,-5.797,0.0577,0.0195,1.28e-05,0.111,0.557,148.025
1w2xhyNViLHhLzrgrOGPM0,Once In A Lifetime,Light,2024-11-22,0.505,0.801,-7.457,0.53,0.127,0.0,0.158,0.485,97.579
1Koas8a5gP2au0Jgbb8YUY,SA POULIA STON AERA,"SIDARTA, Ethismos",2024-11-14,0.658,0.527,-10.093,0.218,0.607,6.82e-06,0.0894,0.311,96.302
19zZ6CFn39KaEgwlnxEtEa,PASARELA,"Kidd, Onad",2024-11-19,0.767,0.724,-6.886,0.279,0.14,5.37e-06,0.109,0.535,109.944
5iaYHdHxU6BK4zJcdPwenZ,BOSS,"Brief Talk, Onad, Joey Evans",2024-11-09,0.805,0.782,-6.866,0.273,0.146,4.6e-06,0.299,0.856,153.969
6qo8v2y2MHUSPLs7VBc6cG,Dancing Through Life,"Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo",2024-11-22,0.468,0.384,-11.008,0.058,0.146,0.0,0.749,0.397,123.619
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,2024-08-23,0.633,0.725,-4.257,0.0427,0.0461,0.0,0.205,0.64,130.504
1nCzYAumI9KtAmT21Ntzoo,Ils se demandent,Denden,2024-10-28,0.691,0.742,-6.207,0.245,0.221,0.0,0.454,0.792,106.073
2cZ00x4yqQtDl4AQIHMb1y,Laisse-moi tranquille.,Damso,2024-11-15,0.622,0.571,-7.833,0.336,0.607,0.0,0.131,0.649,139.736
0cAdtf6J8dsPFi04OVpKzx,Schéma,Damso,2024-11-15,0.496,0.404,-8.967,0.307,0.4,0.000256,0.169,0.175,87.223
2nisza1c4n20GU0HaZ9qmH,LA MELO EST DANS LA BOUNCE,"Genezio, Tiakola",2024-11-19,0.806,0.526,-6.64,0.196,0.71,8.07e-05,0.225,0.796,109.939
5jw1cv3MgIDqrsbrBYFt2e,V!ttu,Sexmane,2024-11-15,0.755,0.598,-5.162,0.0414,0.238,0.0,0.0869,0.489,96.041
0GAhnbTVdovWR7jeYtmrba,Päähenkilö,jambo,2024-11-22,0.766,0.625,-7.564,0.106,0.567,5.69e-05,0.101,0.749,82.478
6sffKkqijCXUkpWzvwHNlD,Tytöt,Mirella,2024-10-31,0.569,0.762,-6.971,0.125,0.136,0.000225,0.0888,0.573,164.794
4om33WZRr4H5nNxUQKntyI,Dopamiini junkie (feat. Senya),"Sexmane, Senya",2024-11-15,0.75,0.739,-3.384,0.187,0.0695,0.0,0.407,0.641,90.011
5gS3fN49Tzod6qptmMC3Rt,Menee Hyvin,Korelon,2024-11-22,0.764,0.655,-5.963,0.282,0.334,0.0,0.124,0.47,149.868
1qIUiG9nhThK6es9pFMlwO,14 FEBREROS,"Quevedo, Sin Nombre",2024-11-22,0.582,0.56,-6.121,0.0694,0.21,0.0,0.246,0.355,89.777
7s8qhehMgdXKpixiqyFFrV,POR ATRÁS,Quevedo,2024-11-22,0.668,0.803,-4.134,0.0596,0.133,5.73e-06,0.11,0.767,160.132
4YX0HMD665kmWsetqE0fBg,LA 125,"Quevedo, Yung Beef",2024-11-22,0.739,0.58,-6.463,0.228,0.364,0.0,0.0981,0.834,99.876
5Oo9D3xJJ2sF6HWiJweV0V,NOEMÚ,Quevedo,2024-11-22,0.586,0.771,-5.764,0.134,0.106,0.00117,0.0764,0.359,87.891
23iK2aTjEEG30dx1uuSXc9,EL ESTRIBILLO,Quevedo,2024-11-22,0.67,0.716,-5.244,0.14,0.276,0.00308,0.167,0.402,172.019
7vqMCnrAbZgii8eJZbjYjF,QUE ASCO DE TODO,Quevedo,2024-11-22,0.504,0.696,-6.321,0.104,0.178,0.000258,0.353,0.522,149.523
48eFm3w5Rv3YZOqXcUzcyq,G-WA,ZHEUS,2024-10-31,0.528,0.802,-3.391,0.176,0.109,0.0,0.895,0.59,92.179
4rUuiCQ8mOiZjjXEOHfZyx,No Has Cambiado,"Baby Rasta, Noriel, Hades66",2024-10-03,0.791,0.514,-7.508,0.154,0.555,9.41e-06,0.192,0.481,89.022
6bltDO0jvqd9OQqhtR4Hjf,روقان,Hoda Bondok,2024-04-03,0.806,0.926,-3.932,0.0427,0.06,0.265,0.0787,0.897,124.001
4aVb9zsSog1iiU0OPym3mV,maria,"säm, Reket",2024-11-22,0.66,0.58,-9.953,0.263,0.345,7.9e-06,0.121,0.557,106.145
7brXEcKHruLMO9yY2v6NLS,lähis-ida,säm,2024-11-22,0.773,0.575,-10.156,0.07,0.623,3.79e-05,0.118,0.509,112.007
6VhpoaavQKiFdVINBPrq0k,kesköö paiku,säm,2024-11-22,0.693,0.689,-8.35,0.039,0.467,0.0127,0.334,0.556,94.013
71A13oW67l33pYZeNigCud,head lendu,säm,2024-11-22,0.521,0.565,-10.901,0.198,0.405,3.07e-06,0.136,0.67,171.765
2i03baWsrlJZlj8Etmswdt,päikest ja soojust,"säm, Karl Killing",2024-11-22,0.631,0.458,-14.253,0.052,0.503,0.00222,0.128,0.725,150.013
3Lo0nrqBq6Vl7kr3MDB2Zi,kõik mu süü,säm,2024-11-22,0.795,0.575,-8.445,0.0652,0.228,0.0342,0.108,0.485,120.03
3gTLaJJbieHBrti47DXTUo,MURAKAMI,"Summer Cem, BILLA JOE",2024-11-08,0.821,0.739,-7.005,0.315,0.168,1.57e-06,0.447,0.832,117.944
3RSjjjs5bBLg9pqrtnacvC,LAK,LACAZETTE,2024-11-15,0.619,0.0983,-27.334,0.0937,0.775,0.93,0.0874,0.341,132.025
3k4gjmYNJugQRlh2aounZ9,Over Each Other,Linkin Park,2024-11-15,0.55,0.789,-4.634,0.0382,0.00241,0.0,0.428,0.317,147.947
5mFZipkX1HZ4Idz5LOWpzq,Cut the Bridge,Linkin Park,2024-11-15,0.622,0.936,-2.72,0.067,0.0212,3.09e-06,0.242,0.743,75.024
0J1IJsMbKWb5g2sJArTkGF,Stained,Linkin Park,2024-11-15,0.516,0.868,-5.148,0.0969,0.0134,0.0,0.509,0.375,91.97
6Ff60h7fShfKTq3T8mONlB,Oko za Oko,"Yzomandias, P T K, STEIN27",2024-11-22,0.717,0.72,-7.205,0.14,0.316,0.0,0.117,0.147,91.982
6A64bcabcBqVb99fdsOvoY,Zapaldo Fire,"Yzomandias, P T K",2024-11-22,0.828,0.66,-7.145,0.16,0.185,0.0,0.239,0.364,114.097
0g2OmTqvP0vhVqgreQmLzj,Gremlin,"P T K, Yzomandias",2024-11-22,0.838,0.46,-9.013,0.177,0.281,0.0,0.111,0.224,121.001
4JtKlgBLKHtRTqixKHrrw8,ÁNGEL,"Grupo Frontera, Romeo Santos",2024-07-25,0.826,0.596,-5.262,0.0357,0.292,0.0,0.166,0.869,127.922
1ydXWMqP40fCXQ3L3BOZcC,Stripclub,"Hozwal, CDobleta",2024-11-12,0.854,0.529,-7.581,0.148,0.16,0.0,0.0667,0.57,86.956
5MmwcFIcD3ZuGE8yRloi3S,Boomerang,Pierre La Voz,2024-11-08,0.778,0.681,-4.86,0.0591,0.432,1.61e-05,0.1,0.788,167.946
